Feature,Importance
num__int_rate,0.055037739328775814
cat__grade_B,0.04584468503178627
cat__term_ 36 months,0.042776973872332646
cat__home_ownership_MORTGAGE,0.038750669245028416
cat__term_ 60 months,0.03852240223199054
cat__grade_C,0.03647742224509746
num__inq_last_6mths,0.03541388514239606
num__dti,0.03521310714276406
cat__home_ownership_RENT,0.03465258852665748
cat__verification_status_Not Verified,0.03455622874327081
num__revol_bal,0.032960889516945764
num__revol_util,0.03286362426620197
num__annual_inc,0.03269061987405663
cat__grade_D,0.032354362885690234
num__installment,0.03179961294424118
cat__grade_A,0.03112352827439434
cat__verification_status_Verified,0.03018135214882391
cat__verification_status_Source Verified,0.029050667466283098
num__total_acc,0.028317340742011612
num__loan_amnt,0.027837932375200897
num__open_acc,0.0259048211942599
cat__purpose_debt_consolidation,0.024928316931203984
cat__emp_length_10+ years,0.02251360909917578
num__mort_acc,0.022043232444417433
cat__purpose_credit_card,0.015855992729306195
cat__grade_E,0.014297665663493393
num__pub_rec,0.012382081080933399
num__delinq_2yrs,0.012293394163273224
cat__home_ownership_OWN,0.010255795847792681
num__pub_rec_bankruptcies,0.007396225409624942
cat__sub_grade_C1,0.005744810828210443
cat__emp_length_2 years,0.005278922225744867
cat__sub_grade_C4,0.00478849886797834
cat__grade_F,0.004687077478804909
cat__sub_grade_B5,0.0046143257791726715
cat__sub_grade_C2,0.004524669826993318
cat__sub_grade_C3,0.004466482051346223
cat__emp_length_< 1 year,0.004377423576791301
cat__emp_length_3 years,0.004369552851896955
cat__sub_grade_B4,0.004132379823775947
cat__sub_grade_C5,0.004078136790533695
cat__sub_grade_D1,0.0037962559481816635
cat__sub_grade_B3,0.003655938344241477
cat__purpose_other,0.003522541820562176
cat__emp_length_1 year,0.003490621372981864
cat__purpose_home_improvement,0.0034557936160221655
cat__emp_length_5 years,0.0032534148991938726
cat__sub_grade_D2,0.003159267642149948
cat__emp_length_4 years,0.003103584181343101
cat__sub_grade_A5,0.002966176299917865
cat__sub_grade_B1,0.002911935790993747
cat__sub_grade_D3,0.002791170252649996
cat__sub_grade_B2,0.0026658388408676566
cat__emp_length_7 years,0.002543837229193813
cat__emp_length_6 years,0.0025287473833298696
cat__emp_length_8 years,0.002489313444769332
cat__sub_grade_D4,0.0023440472647100925
cat__emp_length_9 years,0.0022090356986689207
cat__sub_grade_D5,0.0018756599753386354
cat__sub_grade_E1,0.0015807893833211
cat__sub_grade_E2,0.0014844209976531
cat__sub_grade_A4,0.0014130722635326408
cat__purpose_major_purchase,0.0012690130424766008
cat__sub_grade_E3,0.0012518021279597157
cat__purpose_small_business,0.0012034806035087437
cat__sub_grade_A1,0.001164397078863418
cat__application_type_Individual,0.0010312084410187808
cat__application_type_Joint App,0.0010114014956544278
cat__sub_grade_E5,0.0009607351589533423
cat__purpose_medical,0.0009394697219285595
cat__sub_grade_E4,0.0009356339814645273
cat__grade_G,0.000799632142792004
cat__purpose_vacation,0.0006905277888966941
cat__purpose_car,0.0006560566692734985
cat__sub_grade_A2,0.0006323384118947759
cat__sub_grade_F1,0.0005979471818314129
cat__purpose_moving,0.0005956970548999663
cat__sub_grade_A3,0.0005773014414019854
cat__sub_grade_F2,0.0005349863745209198
cat__sub_grade_F3,0.0004375869002745361
cat__purpose_house,0.00042637725716657626
cat__sub_grade_F4,0.0003386331221902302
cat__sub_grade_F5,0.0003231795662711118
cat__sub_grade_G1,0.00023527698490876793
cat__sub_grade_G2,0.00018445282641367327
cat__purpose_wedding,0.00013692817451743626
cat__sub_grade_G5,0.0001112323363437341
cat__sub_grade_G3,0.00010987188030892868
cat__sub_grade_G4,9.273940633184712e-05
cat__purpose_renewable_energy,6.310408977008558e-05
cat__purpose_educational,3.973879282028058e-05
cat__home_ownership_OTHER,2.4684214255627383e-05
cat__home_ownership_ANY,2.3585636474318256e-05
cat__home_ownership_NONE,4.7077631189609203e-07
